"id","proyecto_id","organo","fecha_inicio","fecha_termino","tipo_tramite"
"10230","1049","ARCHIVO","2025-03-18","2025-03-18","ARCHIVO EXPEDIENTE (Dictamen Mayoría Negativo (Art.81 BIS))"
"10231","1049","PLENARIO","2025-03-18","2025-03-18","ARCHIVO DEL EXPEDIENTE"
"10232","1049","PLENARIO","2025-03-10","2025-03-10","ARCHIVO EXPEDIENTE (Dictamen Mayoría Negativo (Art.81 BIS))"
"10233","1049","PLENARIO","2025-02-26","2025-02-26","RECEPCIÓN EN LA SECRETARÍA DEL DIRECTORIO (PLENARIO)"
"10234","1049","JURIDICOS (ÁREA VII)","2025-02-26","2025-02-26","REMISIÓN A LA SECRETARÍA DEL  DIRECTORIO (COMISIÓN)"
"10235","1049","JURIDICOS (ÁREA VII)","2025-02-05","2025-02-05","DICTAMEN (COMISIÓN)"
"10236","1049","JURIDICOS (ÁREA VII)","2025-02-05","2025-02-05","VOTACIÓN (COMISIÓN)"
"10237","1049","JURIDICOS (ÁREA VII)","2024-10-15","2025-02-05","INGRESO EN EL ORDEN DEL DÍA Y DEBATE (COMISIÓN)"
"10238","1049","JURIDICOS (ÁREA VII)","2024-10-11","2024-10-11","RECEPCIÓN DEL PROYECTO (COMISIÓN)"
"10239","1049","ARCHIVO","2024-10-11","2024-10-11","REMISIÓN DEL EXPEDIENTE A COMISIÓN (ARCHIVO)"
"10240","1049","ARCHIVO","2024-10-10","2024-10-10","RECEPCIÓN DEL PROYECTO (ARCHIVO)"
"10241","1049","PLENARIO","2024-10-09","2024-10-09","ASIGNACIÓN A COMISIÓN E INFORME AL PLENARIO"
"10242","1049","ARCHIVO","2024-09-25","2024-09-25","ENVÍO A IMPRENTA NACIONAL PARA SU PUBLICACIÓN"
"10243","1049","PLENARIO","2024-09-16","2024-09-16","PRESENTACIÓN DEL PROYECTO DE LEY"
"10244","1050","PLENARIO","2026-03-11","","INGRESO EN EL ORDEN DEL DIA (PLENARIO)"
"10245","1050","MUNICIPALES (ÁREA VIII)","2026-02-24","2026-02-24","REMISIÓN A LA SECRETARÍA DEL  DIRECTORIO (COMISIÓN)"
"10246","1050","MUNICIPALES (ÁREA VIII)","2026-02-12","2026-02-12","DICTAMEN (COMISIÓN)"
"10247","1050","MUNICIPALES (ÁREA VIII)","2026-02-12","2026-02-12","VOTACIÓN (COMISIÓN)"
"10248","1050","MUNICIPALES (ÁREA VIII)","2024-10-08","2026-02-12","INGRESO EN EL ORDEN DEL DÍA Y DEBATE (COMISIÓN)"
"10249","1050","MUNICIPALES (ÁREA VIII)","2024-10-08","2024-10-08","RECEPCIÓN DEL PROYECTO (COMISIÓN)"
"10250","1050","ARCHIVO","2024-10-08","2024-10-08","REMISIÓN DEL EXPEDIENTE A COMISIÓN (ARCHIVO)"
"10251","1050","C.E. ALAJUELA (ÁREA II)","2024-10-08","2024-10-08","TRASLADO DE COMISIÓN (COMISION)"
"10252","1050","C.E. ALAJUELA (ÁREA II)","2024-10-02","2024-10-02","RECEPCIÓN DEL PROYECTO (C.E.D.)"
"10253","1050","ARCHIVO","2024-10-02","2024-10-02","REMISIÓN DEL EXPEDIENTE A COMISIÓN (ARCHIVO)"
"10254","1050","ARCHIVO","2024-09-27","2024-09-27","RECEPCIÓN DEL PROYECTO (ARCHIVO)"
"10255","1050","PLENARIO","2024-09-26","2024-09-26","ASIGNACIÓN A COMISIÓN E INFORME AL PLENARIO"
"10256","1050","ARCHIVO","2024-09-25","2024-09-25","ENVÍO A IMPRENTA NACIONAL PARA SU PUBLICACIÓN"
"10257","1050","PLENARIO","2024-09-16","2024-09-16","PRESENTACIÓN DEL PROYECTO DE LEY"
"10258","1051","ARCHIVO","2025-05-08","2025-05-08","ARCHIVO DEL EXPEDIENTE"
"10259","1051","ARCHIVO","2025-05-08","2025-05-08","ARCHIVO EXPEDIENTE (Dictamen Mayoría Negativo (Art.81 BIS))"
"10260","1051","PLENARIO","2025-05-08","2025-05-08","ARCHIVO DEL EXPEDIENTE"
"10261","1051","PLENARIO","2025-04-23","2025-04-24","ARCHIVO EXPEDIENTE (Dictamen Mayoría Negativo (Art.81 BIS))"
"10262","1051","PLENARIO","2025-04-02","2025-04-02","RECEPCIÓN EN LA SECRETARÍA DEL DIRECTORIO (PLENARIO)"
"10263","1051","AGROPECUARIOS (ÁREA IV)","2025-04-01","2025-04-01","REMISIÓN A LA SECRETARÍA DEL  DIRECTORIO (COMISIÓN)"
"10264","1051","AGROPECUARIOS (ÁREA IV)","2025-03-11","2025-03-11","VOTACIÓN (COMISIÓN)"
"10265","1051","AGROPECUARIOS (ÁREA IV)","2024-10-09","2025-03-11","INGRESO EN EL ORDEN DEL DÍA Y DEBATE (COMISIÓN)"
"10266","1051","AGROPECUARIOS (ÁREA IV)","2024-10-01","2024-10-01","RECEPCIÓN DEL PROYECTO (COMISIÓN)"
"10267","1051","ARCHIVO","2024-10-01","2024-10-01","REMISIÓN DEL EXPEDIENTE A COMISIÓN (ARCHIVO)"
"10268","1051","ARCHIVO","2024-09-25","2024-09-25","ENVÍO A IMPRENTA NACIONAL PARA SU PUBLICACIÓN"
"10269","1051","ARCHIVO","2024-09-17","2024-09-17","RECEPCIÓN DEL PROYECTO (ARCHIVO)"
"10270","1051","PLENARIO","2024-09-16","2024-09-16","ASIGNACIÓN A COMISIÓN E INFORME AL PLENARIO"
"10271","1051","PLENARIO","2024-09-12","2024-09-12","PRESENTACIÓN DEL PROYECTO DE LEY"
"10272","1052","ARCHIVO","2025-10-29","2025-10-29","ARCHIVO DEL EXPEDIENTE"
"10273","1052","ARCHIVO","2025-10-29","2025-10-29","ARCHIVO EXPEDIENTE (Dictamen Mayoría Negativo (Art.81 BIS))"
"10274","1052","PLENARIO","2025-10-29","2025-10-29","ARCHIVO DEL EXPEDIENTE"
"10275","1052","PLENARIO","2025-10-17","2025-10-17","ARCHIVO EXPEDIENTE (Dictamen Mayoría Negativo (Art.81 BIS))"
"10276","1052","PLENARIO","2025-10-07","2025-10-07","RECEPCIÓN EN LA SECRETARÍA DEL DIRECTORIO (PLENARIO)"
"10277","1052","TECNOLOGIA Y EDUCAC (ÁREA V)","2025-10-07","2025-10-07","REMISIÓN A LA SECRETARÍA DEL  DIRECTORIO (COMISIÓN)"
"10278","1052","TECNOLOGIA Y EDUCAC (ÁREA V)","2025-09-23","2025-09-23","DICTAMEN (COMISIÓN)"
"10279","1052","TECNOLOGIA Y EDUCAC (ÁREA V)","2025-09-23","2025-09-23","VOTACIÓN (COMISIÓN)"
"10280","1052","TECNOLOGIA Y EDUCAC (ÁREA V)","2024-10-03","2025-09-23","INGRESO EN EL ORDEN DEL DÍA Y DEBATE (COMISIÓN)"
"10281","1052","TECNOLOGIA Y EDUCAC (ÁREA V)","2024-09-26","2024-09-26","RECEPCIÓN DEL PROYECTO (COMISIÓN)"
"10282","1052","ARCHIVO","2024-09-26","2024-09-26","REMISIÓN DEL EXPEDIENTE A COMISIÓN (ARCHIVO)"
"10283","1052","ARCHIVO","2024-09-20","2024-09-20","ENVÍO A IMPRENTA NACIONAL PARA SU PUBLICACIÓN"
"10284","1052","ARCHIVO","2024-09-17","2024-09-17","RECEPCIÓN DEL PROYECTO (ARCHIVO)"
"10285","1052","PLENARIO","2024-09-16","2024-09-16","ASIGNACIÓN A COMISIÓN E INFORME AL PLENARIO"
"10286","1052","PLENARIO","2024-09-12","2024-09-12","PRESENTACIÓN DEL PROYECTO DE LEY"
"10287","1053","PLENARIO","2026-02-16","","INGRESO EN EL ORDEN DEL DIA (PLENARIO)"
"10288","1053","PLENARIO","2025-10-31","2025-10-31","RECEPCIÓN EN LA SECRETARÍA DEL DIRECTORIO (PLENARIO)"
"10289","1053","DISCAPACIDAD (ÁREA VII)","2025-10-31","2025-10-31","REMISIÓN A LA SECRETARÍA DEL  DIRECTORIO (COMISIÓN)"
"10290","1053","DISCAPACIDAD (ÁREA VII)","2025-10-20","2025-10-20","DICTAMEN (COMISIÓN)"
"10291","1053","DISCAPACIDAD (ÁREA VII)","2025-10-20","2025-10-20","VOTACIÓN (COMISIÓN)"
"10292","1053","DISCAPACIDAD (ÁREA VII)","2025-02-12","2025-10-20","INGRESO EN EL ORDEN DEL DÍA Y DEBATE (COMISIÓN)"
"10293","1053","DISCAPACIDAD (ÁREA VII)","2024-11-18","2024-11-18","RECEPCIÓN DEL PROYECTO (COMISIÓN)"
